servers,workload,cpu,energy,temperature,efficiency
7,25.97,32.64,589.14,31.22,78.74
7,26.6,33.85,591.47,31.34,79.27
7,27.19,34.93,594.31,31.31,79.73
7,27.8,35.41,597.09,31.3,80.0
7,28.57,36.42,600.26,31.37,80.46
7,29.31,37.25,603.6,31.3,80.86
6,29.96,38.23,593.77,31.24,80.46
6,30.68,40.64,587.03,31.15,81.34
6,31.35,42.65,582.67,31.13,81.73
6,32.18,44.42,580.15,31.01,82.1
6,32.85,46.57,579.46,30.85,82.46
6,33.64,48.29,580.03,30.84,82.77
6,34.3,49.3,581.2,30.98,82.98
6,35.03,50.41,582.95,30.86,83.2
6,35.6,51.63,585.26,30.8,83.39
6,36.25,53.01,588.15,30.78,83.61
6,37.06,54.34,591.5,30.54,83.84
6,37.75,55.59,595.2,30.63,84.03
6,38.34,56.61,599.04,30.58,84.19
6,39.04,57.91,603.17,30.66,84.38
6,39.79,59.13,607.51,30.62,84.57
6,40.32,60.51,612.13,30.55,84.74
5,41.08,61.59,600.7,30.51,84.07
5,41.71,64.74,592.76,30.53,84.56
5,42.37,67.64,587.65,30.59,85.0
5,42.84,69.91,584.58,30.48,85.33
5,43.48,72.14,583.22,30.58,85.18
5,44.03,75.03,583.69,30.67,84.89
5,44.5,77.11,585.26,30.74,84.69
5,44.98,79.4,587.88,30.77,84.44
5,45.48,81.46,591.27,30.73,84.23
5,45.92,82.55,594.76,30.82,84.11
5,46.44,83.88,598.48,30.67,83.98
5,46.91,85.36,602.47,30.46,83.82
5,47.26,87.39,607.01,30.55,83.58
5,47.53,88.96,611.75,30.47,83.38
5,47.94,90.2,616.48,30.48,83.23
5,48.33,91.32,621.12,30.53,83.1
5,48.74,92.21,625.57,30.58,83.0
5,48.94,93.01,629.81,30.54,82.89
5,49.03,93.99,633.96,30.57,82.75
5,49.15,94.27,637.64,30.51,82.7
5,49.24,94.6,640.95,30.52,82.64
4,49.36,95.55,624.4,30.52,81.41
4,49.42,99.81,612.26,30.44,81.03
4,49.51,100.0,602.02,30.44,81.12
4,49.69,100.0,593.32,30.3,81.23
4,49.82,100.0,585.92,30.3,81.32
4,49.84,100.0,579.63,30.32,81.39
4,49.72,100.0,574.29,30.51,81.43
4,49.7,100.0,569.74,30.59,81.47
4,49.64,100.0,565.88,30.62,81.5
4,49.59,100.0,562.6,30.69,81.53
4,49.39,100.0,559.81,30.63,81.53
4,49.23,100.0,557.44,30.67,81.54
4,49.11,100.0,555.42,30.75,81.55
4,48.94,100.0,553.71,30.86,81.54
4,48.78,100.0,552.25,30.75,81.54
4,48.55,100.0,551.01,30.64,81.53
4,48.4,100.0,549.96,30.7,81.52
4,48.08,100.0,549.07,30.67,81.49
4,47.79,100.0,548.31,30.68,81.46
4,47.52,100.0,547.66,30.65,81.44
4,47.2,100.0,547.11,30.67,81.4
4,46.96,100.0,546.65,30.7,81.38
4,46.65,100.0,546.25,30.76,81.35
4,46.5,100.0,545.91,30.81,81.33
4,46.09,100.0,545.62,30.84,81.28
4,45.71,100.0,545.38,30.78,81.23
4,45.45,100.0,545.17,30.84,81.2
4,45.04,100.0,545.0,30.71,81.15
4,44.63,100.0,544.85,30.86,81.1
4,44.36,100.0,544.72,30.89,81.06
4,44.06,100.0,544.61,30.83,81.02
4,43.84,100.0,544.52,30.81,80.99
4,43.49,100.0,544.44,30.8,80.94
4,43.0,100.0,544.38,30.82,80.87
4,42.69,100.0,544.32,30.86,80.82
4,42.29,100.0,544.27,30.62,80.76
4,42.0,100.0,544.23,30.65,80.72
4,41.62,100.0,544.2,30.73,80.66
4,41.3,100.0,544.17,30.67,80.61
4,40.93,100.0,544.14,30.74,80.55
4,40.69,100.0,544.12,30.68,80.51
4,40.51,100.0,544.1,30.66,80.48
4,40.17,100.0,544.09,30.73,80.43
4,39.97,100.0,544.07,30.73,80.39
4,39.7,100.0,544.06,30.68,80.35
4,39.53,99.79,543.96,30.64,80.35
4,39.35,99.85,543.89,30.76,80.31
4,39.17,99.75,543.8,30.86,80.29
4,38.99,99.37,543.54,30.88,80.31
4,38.75,98.88,543.11,30.91,80.33
4,38.66,98.32,542.49,30.96,80.38
4,38.49,98.22,541.92,31.09,80.37
4,38.46,98.09,541.37,31.09,80.39
3,38.44,97.58,520.55,31.23,78.46
2,38.37,100.0,483.26,31.32,74.61
2,38.4,100.0,451.58,31.37,75.44
2,38.42,100.0,424.64,31.31,76.15
2,38.48,100.0,401.74,31.44,76.76
2,38.68,100.0,382.28,31.46,77.32
2,38.77,100.0,365.74,31.48,77.77
2,38.92,100.0,351.68,31.45,78.17
2,39.03,100.0,339.73,31.44,78.5
2,39.3,100.0,329.57,31.49,78.81
2,39.48,100.0,320.93,31.5,79.07
2,39.77,100.0,313.59,31.47,79.31
2,39.93,100.0,307.35,31.45,79.5
2,40.21,100.0,302.05,31.54,79.69
2,40.53,100.0,297.54,31.56,79.86
2,40.84,100.0,293.71,31.64,80.01
2,41.36,100.0,290.45,31.63,80.18
2,41.88,100.0,287.69,31.76,80.33
2,42.33,100.0,285.33,31.81,80.46
2,42.79,100.0,283.33,31.8,80.58
2,43.32,100.0,281.63,31.78,80.7
2,43.79,100.0,280.19,31.82,80.8
2,44.44,100.0,278.96,31.78,80.92
2,45.01,100.0,277.92,31.83,81.03
2,45.52,100.0,277.03,31.88,81.11
2,46.04,100.0,276.27,31.75,81.2
2,46.63,100.0,275.63,31.69,81.29
2,47.2,100.0,275.09,31.76,81.37
2,47.89,100.0,274.63,31.91,81.47
2,48.63,100.0,274.23,31.89,81.56
2,49.38,100.0,273.9,31.9,81.65
2,50.08,100.0,273.61,31.92,81.74
2,50.84,100.0,273.37,31.91,81.82
2,51.54,100.0,273.16,31.89,81.9
2,52.35,100.0,272.99,31.84,81.98
2,53.0,100.0,272.84,32.0,82.05
2,53.74,100.0,272.72,32.02,83.81
2,54.55,100.0,272.61,32.18,83.88
2,55.26,100.0,272.52,32.09,83.95
2,56.16,100.0,272.44,31.99,82.35
2,56.89,100.0,272.37,31.94,82.41
2,57.81,100.0,272.32,31.9,82.49
2,58.62,100.0,272.27,32.05,84.24
2,59.42,100.0,272.23,32.18,84.3
2,60.16,100.0,272.19,32.13,84.36
2,60.94,100.0,272.17,32.26,84.41
2,61.72,100.0,272.14,32.38,84.47
2,62.32,100.0,272.12,32.47,84.51
2,63.14,100.0,272.1,32.51,84.57
2,63.84,100.0,272.09,32.45,84.62
2,64.57,100.0,272.07,32.45,84.67
2,65.3,100.0,272.06,32.52,84.71
2,65.95,100.0,272.05,32.64,84.75
2,66.6,100.0,272.05,32.54,84.8
2,67.43,100.0,272.04,32.43,84.85
2,68.0,100.0,272.03,32.47,84.88
2,68.62,100.0,272.03,32.48,84.92
2,69.27,100.0,272.02,32.51,84.95
2,69.88,100.0,272.02,32.5,84.99
2,70.33,100.0,272.02,32.53,85.01
2,70.78,100.0,272.01,32.52,85.04
2,71.24,100.0,272.01,32.52,85.06
2,71.7,100.0,272.01,32.47,85.09
2,72.22,100.0,272.01,32.51,85.11
2,72.69,100.0,272.01,32.54,85.14
2,73.04,100.0,272.01,32.7,85.16
2,73.5,100.0,272.01,32.76,85.18
2,73.94,100.0,272.0,32.84,85.2
2,74.29,100.0,272.0,32.85,85.22
2,74.54,100.0,272.0,32.78,85.23
2,74.96,100.0,272.0,32.86,85.25
2,75.36,100.0,272.0,32.88,85.27
2,75.61,100.0,272.0,32.88,85.28
2,75.81,100.0,272.0,33.02,85.29
2,76.03,100.0,272.0,32.99,85.3
2,76.24,100.0,272.0,33.05,85.31
2,76.37,100.0,272.0,33.08,85.32
2,76.47,100.0,272.0,33.12,85.32
2,76.58,100.0,272.0,33.18,85.33
2,76.72,100.0,272.0,33.21,85.33
2,76.96,100.0,272.0,33.24,85.35
2,77.09,100.0,272.0,33.22,85.35
2,77.12,100.0,272.0,33.24,85.35
2,77.3,100.0,272.0,33.29,85.36
2,77.33,100.0,272.0,33.31,85.36
2,77.35,100.0,272.0,33.3,85.36
2,77.23,100.0,272.0,33.32,85.36
2,77.16,100.0,272.0,33.37,85.35
2,77.18,100.0,272.0,33.53,85.36
2,77.1,100.0,272.0,33.51,85.35
2,77.09,100.0,272.0,33.49,85.35
2,77.1,100.0,272.0,33.48,85.35
2,77.13,100.0,272.0,33.43,85.35
2,77.05,100.0,272.0,33.47,85.35
2,77.05,100.0,272.0,33.51,85.35
2,76.86,100.0,272.0,33.64,85.34
2,76.74,100.0,272.0,33.64,85.34
2,76.71,100.0,272.0,33.59,85.33
2,76.65,100.0,272.0,33.64,85.33
2,76.53,100.0,272.0,33.78,85.33
2,76.43,100.0,272.0,33.84,85.32
2,76.4,100.0,272.0,33.85,85.32
2,76.27,100.0,272.0,33.82,85.31
2,76.15,100.0,272.0,33.94,85.31
2,75.95,100.0,272.0,34.04,85.3
2,75.8,100.0,272.0,33.97,85.29
2,75.58,100.0,272.0,33.98,85.28
2,75.53,100.0,272.0,33.97,85.28
2,75.37,100.0,272.0,34.06,85.27
2,75.29,100.0,272.0,33.94,85.27
2,75.28,100.0,272.0,33.97,85.27
2,75.24,100.0,272.0,33.9,85.26
2,75.14,100.0,272.0,33.93,85.26
2,75.18,100.0,272.0,33.95,85.26
2,75.06,100.0,272.0,33.94,85.26
2,75.02,100.0,272.0,33.95,85.25
2,75.04,100.0,272.0,33.84,85.26
2,74.96,100.0,272.0,33.93,85.25
2,74.8,100.0,272.0,33.96,85.24
2,74.72,100.0,272.0,34.07,85.24
2,74.69,100.0,272.0,34.21,85.24
2,74.6,100.0,272.0,34.14,85.23
2,74.49,100.0,272.0,34.08,85.23
2,74.26,100.0,272.0,34.09,85.22
2,74.16,100.0,272.0,34.08,85.21
2,74.13,100.0,272.0,34.04,85.21
2,74.12,100.0,272.0,34.04,85.21
2,74.2,100.0,272.0,34.14,85.21
2,74.16,100.0,272.0,34.05,85.21
2,74.03,100.0,272.0,34.12,85.21
2,74.07,100.0,272.0,34.11,85.21
2,74.09,100.0,272.0,34.16,85.21
2,74.06,100.0,272.0,34.0,85.21
2,74.04,100.0,272.0,34.1,85.21
2,74.17,100.0,272.0,34.1,85.21
2,74.32,100.0,272.0,34.32,85.22
2,74.41,100.0,272.0,34.47,85.22
2,74.6,100.0,272.0,34.47,85.23
2,74.71,100.0,272.0,34.44,85.24
2,75.11,100.0,272.0,34.36,85.26
2,75.33,100.0,272.0,34.36,85.27
2,75.43,100.0,272.0,34.25,85.27
2,75.56,100.0,272.0,34.23,85.28
2,75.8,100.0,272.0,34.22,85.29
2,76.0,100.0,272.0,34.3,85.3
2,76.28,100.0,272.0,34.28,85.31
2,76.46,100.0,272.0,34.44,85.32
2,76.85,100.0,272.0,34.49,85.34
2,77.12,100.0,272.0,34.49,85.35
2,77.37,100.0,272.0,34.56,85.36
2,77.66,100.0,272.0,34.62,85.38
2,78.02,100.0,272.0,34.62,85.39
2,78.45,100.0,272.0,34.7,85.41
2,78.93,100.0,272.0,34.68,85.43
2,79.37,100.0,272.0,34.69,85.45
2,79.92,100.0,272.0,34.7,85.48
2,80.34,100.0,272.0,34.69,85.49
2,80.84,100.0,272.0,34.74,85.52
2,81.25,100.0,272.0,34.79,85.53
2,81.76,100.0,272.0,34.83,85.55
2,82.25,100.0,272.0,34.71,85.57
2,82.7,100.0,272.0,34.67,85.59
2,83.14,100.0,272.0,34.68,85.61
2,83.69,100.0,272.0,34.64,85.63
2,84.23,100.0,272.0,34.64,85.65
2,84.69,100.0,272.0,34.65,85.67
2,85.22,100.0,272.0,34.7,85.69
2,85.67,100.0,272.0,34.77,85.7
2,86.2,100.0,272.0,34.69,85.72
2,86.64,100.0,272.0,34.64,85.74
2,87.19,100.0,272.0,34.76,85.76
2,87.59,100.0,272.0,34.72,85.77
2,87.99,100.0,272.0,34.78,85.79
2,88.46,100.0,272.0,34.61,85.81
2,88.97,100.0,272.0,34.69,85.82
2,89.51,100.0,272.0,34.7,85.84
2,89.98,100.0,272.0,34.76,85.86
2,90.36,100.0,272.0,34.76,85.87
2,90.82,100.0,272.0,34.93,85.89
2,91.22,100.0,272.0,35.02,85.9
2,91.68,100.0,272.0,34.97,85.91
2,92.06,100.0,272.0,34.94,85.93
2,92.47,100.0,272.0,34.82,85.94
2,92.85,100.0,272.0,34.79,85.95
2,93.03,100.0,272.0,34.86,85.96
2,93.24,100.0,272.0,34.84,85.96
2,93.44,100.0,272.0,34.84,85.97
2,93.64,100.0,272.0,34.95,85.98
2,93.79,100.0,272.0,35.03,85.98
2,94.07,100.0,272.0,34.92,85.99
2,94.36,100.0,272.0,34.9,86.0
2,94.48,100.0,272.0,34.83,86.0
2,94.67,100.0,272.0,34.79,86.01
2,94.73,100.0,272.0,34.92,86.01
2,94.76,100.0,272.0,34.98,86.01
2,94.89,100.0,272.0,35.13,86.01
2,94.9,100.0,272.0,35.21,86.01
2,94.8,100.0,272.0,35.07,86.01
2,94.84,100.0,272.0,35.0,86.01
2,94.78,100.0,272.0,35.08,86.01
2,94.56,100.0,272.0,35.26,86.0
2,94.44,100.0,272.0,35.27,86.0
2,94.34,100.0,272.0,35.25,86.0
2,94.09,100.0,272.0,35.15,85.99
2,93.88,100.0,272.0,35.19,85.98
2,93.7,100.0,272.0,35.09,85.98
2,93.45,100.0,272.0,34.98,85.97
2,93.18,100.0,272.0,35.15,85.96
2,92.81,100.0,272.0,35.27,85.95
2,92.46,100.0,272.0,35.37,85.94
2,92.04,100.0,272.0,35.42,85.92
2,91.69,100.0,272.0,35.4,85.91
2,91.4,100.0,272.0,35.5,85.9
2,90.98,100.0,272.0,35.52,85.89
2,90.65,100.0,272.0,35.37,85.88
2,90.28,100.0,272.0,35.42,85.87
2,89.88,100.0,272.0,35.45,85.85
2,89.4,100.0,272.0,35.43,85.84
2,88.92,100.0,272.0,35.34,85.82
2,88.36,100.0,272.0,35.28,85.8
2,87.88,100.0,272.0,35.39,85.78
2,87.3,100.0,272.0,35.47,85.76
2,86.78,100.0,272.0,35.42,85.75
2,86.27,100.0,272.0,35.34,85.73
2,85.82,100.0,272.0,35.4,85.71
2,85.29,100.0,272.0,35.39,85.69
2,84.69,100.0,272.0,35.34,85.67
2,84.23,100.0,272.0,35.26,85.65
2,83.82,100.0,272.0,35.27,85.63
2,83.28,100.0,272.0,35.32,85.61
2,82.73,100.0,272.0,35.42,85.59
2,82.26,100.0,272.0,35.52,85.57
2,81.61,100.0,272.0,35.56,85.55
2,81.15,100.0,272.0,35.64,85.53
2,80.56,100.0,272.0,35.57,85.5
2,80.18,100.0,272.0,35.45,85.49
2,79.64,100.0,272.0,35.42,85.46
2,79.17,100.0,272.0,35.46,85.44
2,78.67,100.0,272.0,35.52,85.42
2,78.14,100.0,272.0,35.54,85.4
2,77.69,100.0,272.0,35.56,85.38
2,77.19,100.0,272.0,35.68,85.36
2,76.84,100.0,272.0,35.67,85.34
2,76.3,100.0,272.0,35.64,85.32
2,75.84,100.0,272.0,35.66,85.29
2,75.54,100.0,272.0,35.81,85.28
2,75.24,100.0,272.0,35.67,85.26
2,74.9,100.0,272.0,35.6,85.25
2,74.55,100.0,272.0,35.6,85.23
2,74.29,100.0,272.0,35.64,85.22
2,74.03,100.0,272.0,35.71,85.21
2,73.8,100.0,272.0,35.64,85.19
2,73.59,100.0,272.0,35.62,85.18
2,73.48,100.0,272.0,35.81,85.18
2,73.09,100.0,272.0,35.96,85.16
2,73.07,100.0,272.0,36.0,85.16
2,72.94,100.0,272.0,35.91,85.15
2,72.86,100.0,272.0,36.19,85.15
2,72.77,100.0,272.0,36.09,85.14
2,72.72,100.0,272.0,36.12,85.14
2,72.71,100.0,272.0,36.21,85.14
2,72.77,100.0,272.0,36.03,85.14
2,72.84,100.0,272.0,35.93,85.15
2,72.87,100.0,272.0,35.86,85.15
2,72.78,100.0,272.0,35.95,85.14
2,72.73,100.0,272.0,35.9,85.14
2,72.78,100.0,272.0,35.92,85.14
2,72.93,100.0,272.0,35.92,85.15
2,73.16,100.0,272.0,36.0,85.16
2,73.34,100.0,272.0,36.04,85.17
2,73.58,100.0,272.0,36.0,85.18
2,73.8,100.0,272.0,35.9,85.19
2,74.01,100.0,272.0,35.76,85.2
2,74.26,100.0,272.0,35.86,85.22
2,74.53,100.0,272.0,35.95,85.23
2,74.87,100.0,272.0,36.07,85.25
2,75.24,100.0,272.0,35.98,85.26
2,75.56,100.0,272.0,35.92,85.28
2,75.79,100.0,272.0,36.05,85.29
2,76.07,100.0,272.0,35.99,85.3
2,76.62,100.0,272.0,35.9,85.33
2,77.08,100.0,272.0,35.9,85.35
2,77.59,100.0,272.0,35.84,85.37
2,78.1,100.0,272.0,35.85,85.4
2,78.57,100.0,272.0,35.91,85.42
2,78.94,100.0,272.0,35.98,85.43
2,79.4,100.0,272.0,36.14,85.45
2,79.63,100.0,272.0,36.21,85.46
2,80.1,100.0,272.0,36.34,85.48
2,80.56,100.0,272.0,36.37,85.5
2,81.15,100.0,272.0,36.5,85.53
2,81.58,100.0,272.0,36.35,85.55
2,82.03,100.0,272.0,36.38,85.56
2,82.52,100.0,272.0,36.21,85.58
2,82.94,100.0,272.0,36.25,85.6
2,83.32,100.0,272.0,36.25,85.62
2,83.78,100.0,272.0,36.2,85.63
2,84.16,100.0,272.0,36.04,85.65
2,84.54,100.0,272.0,36.05,85.66
2,84.92,100.0,272.0,36.12,85.68
2,85.35,100.0,272.0,36.18,85.69
2,85.71,100.0,272.0,36.19,85.71
2,86.24,100.0,272.0,36.18,85.73
2,86.67,100.0,272.0,36.25,85.74
2,86.97,100.0,272.0,36.16,85.75
2,87.37,100.0,272.0,36.17,85.77
2,87.85,100.0,272.0,36.29,85.78
2,88.14,100.0,272.0,36.29,85.79
2,88.44,100.0,272.0,36.35,85.8
2,88.78,100.0,272.0,36.3,85.82
2,89.06,100.0,272.0,36.38,85.83
2,89.27,100.0,272.0,36.51,85.83
2,89.6,100.0,272.0,36.51,85.84
2,89.67,100.0,272.0,36.53,85.85
2,90.06,100.0,272.0,36.55,85.86
2,90.2,100.0,272.0,36.51,85.86
2,90.51,100.0,272.0,36.54,85.87
2,90.61,100.0,272.0,36.77,85.88
2,90.81,100.0,272.0,36.81,85.88
2,91.01,100.0,272.0,36.9,85.89
2,91.11,100.0,272.0,36.93,85.89
2,91.33,100.0,272.0,36.97,85.9
2,91.45,100.0,272.0,36.92,85.91
2,91.52,100.0,272.0,36.9,85.91
2,91.73,100.0,272.0,36.97,85.91
2,91.8,100.0,272.0,37.13,85.92
2,91.8,100.0,272.0,37.1,85.92
2,91.8,100.0,272.0,37.17,85.92
2,91.83,100.0,272.0,37.21,85.92
2,91.73,100.0,272.0,37.18,85.91
2,91.72,100.0,272.0,37.04,85.91
2,91.83,100.0,272.0,37.1,85.92
2,91.81,100.0,272.0,37.13,85.92
2,91.86,100.0,272.0,37.07,85.92
2,91.71,100.0,272.0,37.18,85.91
2,91.51,100.0,272.0,37.15,85.91
2,91.31,100.0,272.0,37.11,85.9
2,91.08,100.0,272.0,37.17,85.89
2,90.91,100.0,272.0,37.1,85.89
2,90.62,100.0,272.0,37.2,85.88
2,90.28,100.0,272.0,37.18,85.87
2,90.12,100.0,272.0,37.16,85.86
2,89.76,100.0,272.0,37.09,85.85
2,89.41,100.0,272.0,37.24,85.84
2,89.03,100.0,272.0,37.36,85.82
2,88.58,100.0,272.0,37.28,85.81
2,88.09,100.0,272.0,37.33,85.79
2,87.77,100.0,272.0,37.3,85.78
2,87.38,100.0,272.0,37.26,85.77
2,87.08,100.0,272.0,37.24,85.76
2,86.59,100.0,272.0,37.27,85.74
2,86.1,100.0,272.0,37.28,85.72
2,85.52,100.0,272.0,37.19,85.7
2,84.96,100.0,272.0,37.21,85.68
2,84.54,100.0,272.0,37.19,85.66
2,84.0,100.0,272.0,37.32,85.64
2,83.62,100.0,272.0,37.42,85.63
2,83.15,100.0,272.0,37.45,85.61
2,82.61,100.0,272.0,37.51,85.59
2,82.22,100.0,272.0,37.33,85.57
2,81.78,100.0,272.0,37.33,85.55
2,81.31,100.0,272.0,37.35,85.53
2,80.84,100.0,272.0,37.52,85.52
2,80.46,100.0,272.0,37.6,85.5
2,79.94,100.0,272.0,37.73,85.48
2,79.56,100.0,272.0,37.78,85.46
2,79.13,100.0,272.0,37.78,85.44
2,78.83,100.0,272.0,37.58,85.43
2,78.48,100.0,272.0,37.6,85.41
2,78.12,100.0,272.0,37.57,85.4
2,77.75,100.0,272.0,37.53,85.38
2,77.47,100.0,272.0,37.57,85.37
2,77.2,100.0,272.0,37.55,85.36
2,76.91,100.0,272.0,37.52,85.34
2,76.56,100.0,272.0,37.71,85.33
2,76.26,100.0,272.0,37.73,85.31
2,75.99,100.0,272.0,37.68,85.3
2,75.6,100.0,272.0,37.8,85.28
2,75.45,100.0,272.0,37.97,85.27
2,75.23,100.0,272.0,37.97,85.26
2,75.07,100.0,272.0,38.01,85.26
2,74.95,100.0,272.0,37.98,85.25
2,74.81,100.0,272.0,37.96,85.24
2,74.8,100.0,272.0,37.89,85.24
2,74.81,100.0,272.0,37.94,85.24
2,74.79,100.0,272.0,38.12,85.24
2,74.88,100.0,272.0,38.13,85.25
2,74.92,100.0,272.0,38.18,85.25
2,74.98,100.0,272.0,38.29,85.25
2,75.02,100.0,272.0,38.24,85.25
2,75.01,100.0,272.0,38.14,85.25
2,75.09,100.0,272.0,38.13,85.26
2,75.25,100.0,272.0,38.08,85.27
2,75.27,100.0,272.0,38.05,85.27
2,75.47,100.0,272.0,37.96,85.28
2,75.63,100.0,272.0,38.12,85.28
2,75.92,100.0,272.0,38.12,85.3
2,76.18,100.0,272.0,38.22,85.31
2,76.25,100.0,272.0,38.22,85.31
2,76.41,100.0,272.0,38.17,85.32
2,76.47,100.0,272.0,38.23,85.32
2,76.61,100.0,272.0,38.17,85.33
2,76.76,100.0,272.0,38.08,85.34
2,76.91,100.0,272.0,38.09,85.34
2,77.12,100.0,272.0,38.07,85.35
2,77.22,100.0,272.0,38.08,85.36
2,77.31,100.0,272.0,38.14,85.36
2,77.43,100.0,272.0,38.01,85.37
2,77.69,100.0,272.0,38.0,85.38
2,77.79,100.0,272.0,38.07,85.38
2,77.96,100.0,272.0,38.06,85.39
2,78.09,100.0,272.0,38.11,85.4
2,78.21,100.0,272.0,38.12,85.4
